Arrondissements,Hopitaux,metro,bus,rer,stationautolib,stattionvelib,etablissement,Prixmetrecarree
3,1,6,13,0,12,15,29,9690
3,1,6,13,0,12,15,29,9620
3,1,6,13,0,12,15,29,9850
3,1,6,13,0,12,15,29,9830
3,1,6,13,0,12,15,29,9960
3,1,6,13,0,12,15,29,9720
3,1,6,13,0,12,15,29,10220
3,1,6,13,0,12,15,29,10200
3,1,6,13,0,12,15,29,10340
3,1,6,13,0,12,15,29,10320
3,1,6,13,0,12,15,29,10540
3,1,6,13,0,12,15,29,10170
3,1,6,13,0,12,15,29,10040
3,1,6,13,0,12,15,29,10320
3,1,6,13,0,12,15,29,10030
3,1,6,13,0,12,15,29,9560
3,1,6,13,0,12,15,29,9590
3,1,6,13,0,0,15,29,8440
3,1,6,13,0,0,15,29,8480
3,1,6,13,0,0,15,29,8020
3,1,6,13,0,0,15,29,7620
3,1,6,13,0,0,15,29,7450
3,1,6,13,0,0,15,29,7490
3,1,6,13,0,0,15,29,6830
3,1,6,13,0,0,15,29,7620
3,1,6,13,0,0,15,29,7620
3,1,6,13,0,0,15,29,8140
3,1,6,13,0,0,15,29,7950
3,1,6,13,0,0,15,29,7850
3,1,6,13,0,0,15,29,7820
3,1,6,13,0,0,15,29,7590
3,1,6,13,0,0,15,29,7320
3,1,6,13,0,0,15,29,7420
3,1,6,13,0,0,0,29,6750
3,1,6,13,0,0,0,29,6900
3,1,6,13,0,0,0,29,6520
3,1,6,13,0,0,0,29,6220
3,1,6,13,0,0,0,29,6170
3,1,6,13,0,0,0,29,5980
3,1,6,13,0,0,0,29,5790
3,1,6,13,0,0,0,29,5750
3,1,6,13,0,0,0,29,5380
3,1,6,13,0,0,0,29,5340
3,1,6,13,0,0,0,29,4960
3,1,6,13,0,0,0,29,4830
3,1,6,13,0,0,0,29,4810
3,1,6,13,0,0,0,29,4550
3,1,6,13,0,0,0,29,4250
3,1,6,13,0,0,0,29,3830
3,1,6,13,0,0,0,29,3970
3,1,6,13,0,0,0,29,3950
3,1,6,13,0,0,0,29,3730
3,1,6,13,0,0,0,29,3650
3,1,6,13,0,0,0,29,3610
3,1,6,13,0,0,0,29,3560
3,1,6,13,0,0,0,29,3600
3,1,6,13,0,0,0,29,3460
4,4,7,24,2,14,24,26,11670
4,4,7,24,2,14,24,26,11990
4,4,7,24,2,14,24,26,11630
4,4,7,24,2,14,24,26,11310
4,4,7,24,2,14,24,26,11550
4,4,7,24,2,14,24,26,11300
4,4,7,24,2,14,24,26,11330
4,4,7,24,2,14,24,26,11130
4,4,7,24,2,14,24,26,11520
4,4,7,24,2,14,24,26,10830
4,4,7,24,2,14,24,26,10280
4,4,7,24,2,14,24,26,10730
4,4,7,24,2,14,24,26,11250
4,4,7,24,2,14,24,26,11220
4,4,7,24,2,14,24,26,11070
4,4,7,24,2,14,24,26,11350
4,4,7,24,2,14,24,26,11000
4,4,7,24,2,14,24,26,11620
4,4,7,24,2,14,24,26,10670
4,4,7,24,2,14,24,26,11060
4,4,7,24,2,14,24,26,10980
4,4,7,24,2,14,24,26,10830
4,4,7,24,2,14,24,26,11070
4,4,7,24,2,14,24,26,10280
4,4,7,24,2,14,24,26,10980
4,4,7,24,2,14,24,26,11160
4,4,7,24,2,14,24,26,10220
4,4,7,24,2,0,24,26,9200
4,4,7,24,2,0,24,26,9510
4,4,7,24,2,0,24,26,8490
4,4,7,24,2,0,24,26,8760
4,4,7,24,2,0,24,26,8510
4,4,7,24,2,0,24,26,8350
4,4,7,24,2,0,24,26,8120
4,4,7,24,2,0,24,26,8520
4,4,7,24,2,0,24,26,8900
4,4,7,24,2,0,24,26,8620
4,4,7,24,2,0,24,26,8890
4,4,7,24,2,0,24,26,8290
4,4,7,24,2,0,24,26,8420
4,4,7,24,2,0,24,26,8180
4,4,7,24,2,0,24,26,7750
4,4,7,24,2,0,24,26,7590
4,4,7,24,2,0,0,26,7530
4,4,7,24,2,0,0,26,7760
4,4,7,24,2,0,0,26,7180
4,4,7,24,2,0,0,26,7300
4,4,7,24,2,0,0,26,6890
4,4,7,24,2,0,0,26,7120
4,4,7,24,2,0,0,26,6380
4,4,7,24,2,0,0,26,6370
4,4,7,24,2,0,0,26,6560
4,4,7,24,2,0,0,26,5660
4,4,7,24,2,0,0,26,5880
4,4,7,24,2,0,0,26,5740
4,4,7,24,2,0,0,26,5550
4,4,7,24,2,0,0,26,5320
4,4,7,24,2,0,0,26,5080
4,4,7,24,2,0,0,26,5140
4,4,7,24,2,0,0,26,4950
4,4,7,24,2,0,0,26,4940
4,4,7,24,2,0,0,26,4470
4,4,7,24,2,0,0,26,4660
4,4,7,24,2,0,0,26,4320
4,4,7,24,2,0,0,26,4480
4,4,7,24,2,0,0,26,4010
4,4,7,24,2,0,0,26,4420
5,9,4,2,24,17,39,46,11290
5,9,4,2,24,17,39,46,11010
5,9,4,2,24,17,39,46,11040
5,9,4,2,24,17,39,46,10720
5,9,4,2,24,17,39,46,10510
5,9,4,2,24,17,39,46,10390
5,9,4,2,24,17,39,46,9910
5,9,4,2,24,17,39,46,10300
5,9,4,2,24,17,39,46,9940
5,9,4,2,24,17,39,46,9850
5,9,4,2,24,17,39,46,9780
5,9,4,2,24,17,39,46,10540
5,9,4,2,24,17,39,46,9970
5,9,4,2,24,17,39,46,10110
5,9,4,2,24,17,39,46,9990
5,9,4,2,24,17,39,46,10050
5,9,4,2,24,17,39,46,10250
5,9,4,2,24,17,39,46,10210
5,9,4,2,24,17,39,46,10450
5,9,4,2,24,17,39,46,10370
5,9,4,2,24,17,39,46,10460
5,9,4,2,24,17,39,46,10610
5,9,4,2,24,17,39,46,10310
5,9,4,2,24,17,39,46,10180
5,9,4,2,24,17,39,46,10620
5,9,4,2,24,17,39,46,10240
5,9,4,2,24,17,39,46,9660
5,9,4,2,24,0,39,46,9230
5,9,4,2,24,0,39,46,9040
5,9,4,2,24,0,39,46,8380
5,9,4,2,24,0,39,46,8020
5,9,4,2,24,0,39,46,7850
5,9,4,2,24,0,39,46,7830
5,9,4,2,24,0,39,46,7950
5,9,4,2,24,0,39,46,7640
5,9,4,2,24,0,39,46,8340
5,9,4,2,24,0,39,46,8460
5,9,4,2,24,0,39,46,8190
5,9,4,2,24,0,39,46,7970
5,9,4,2,24,0,39,46,7720
5,9,4,2,24,0,39,46,7970
5,9,4,2,24,0,39,46,7570
5,9,4,2,24,0,39,46,7490
5,9,4,2,24,0,0,46,7040
5,9,4,2,24,0,0,46,7360
5,9,4,2,24,0,0,46,7030
5,9,4,2,24,0,0,46,6810
5,9,4,2,24,0,0,46,6850
5,9,4,2,24,0,0,46,6510
5,9,4,2,24,0,0,46,6170
5,9,4,2,24,0,0,46,6190
5,9,4,2,24,0,0,46,6220
5,9,4,2,24,0,0,46,6080
5,9,4,2,24,0,0,46,5800
5,9,4,2,24,0,0,46,5790
5,9,4,2,24,0,0,46,5450
5,9,4,2,24,0,0,46,5240
5,9,4,2,24,0,0,46,5220
5,9,4,2,24,0,0,46,5030
5,9,4,2,24,0,0,46,4750
5,9,4,2,24,0,0,46,4680
5,9,4,2,24,0,0,46,4560
5,9,4,2,24,0,0,46,4340
5,9,4,2,24,0,0,46,4470
5,9,4,2,24,0,0,46,4310
5,9,4,2,24,0,0,46,4210
5,9,4,2,24,0,0,46,4170
6,8,5,26,2,17,33,26,12220
6,8,5,26,2,17,33,26,12090
6,8,5,26,2,17,33,26,11730
6,8,5,26,2,17,33,26,11240
6,8,5,26,2,17,33,26,11250
6,8,5,26,2,17,33,26,11330
6,8,5,26,2,17,33,26,11370
6,8,5,26,2,17,33,26,11160
6,8,5,26,2,17,33,26,11560
6,8,5,26,2,17,33,26,12020
6,8,5,26,2,17,33,26,11430
6,8,5,26,2,17,33,26,11020
6,8,5,26,2,17,33,26,11810
6,8,5,26,2,17,33,26,11530
6,8,5,26,2,17,33,26,11780
6,8,5,26,2,17,33,26,12190
6,8,5,26,2,17,33,26,11740
